record_id,sentence_text,country_source,source_role,source_line,source_document_id,source_sentence_id,source_split,derived_split,annotator1_raw,annotator2_raw,reconciliation_raw,recorded_label,label_path
train-0001,Da li je pošteno da se ukida prethodna stopa i da se povećava u odnosu na prethodnu?,HR,train_file,1,17023,2536,train,ucenje,N_Neutral,Negative,M_Negative,Negative,dva_kodera_i_uskladjenje
train-0003,Vizija predstavlja sliku idealne budućnosti a ciljevi način kako se ostvaruje ta vizija.,HR,train_file,3,41098,552,train,ucenje,P_Neutral,Positive,P_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0004,"Znači banke imaju 9 i pol milijardi kuna slobodnih sredstava, HNB vodi ekstenzivnu monetarnu politiku.",HR,train_file,4,77562,2066,train,provjera,P_Neutral,Positive,Positive,Positive,dva_kodera_i_uskladjenje
train-0005,"Oni mogu biti i oružana agresija, dakle napad druge države, ali ono mogu biti i unutarnja oružana pobuna, oni mogu biti terorističke djelatnosti, može biti špijunaža, može biti diverzija.",HR,train_file,5,23551,540,train,provjera,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0007,"Zemlje koje su uspješne nisu uspješne zbog interventnih mjera, nego zbog dalekovidne i pametne, pa ako hoćete i drske politike prije sedam, osam ili deset godina.",HR,train_file,7,3496,515,train,provjera,Positive,P_Neutral,Positive,Positive,dva_kodera_i_uskladjenje
train-0008,"Svatko ima pravo na pristup sudu, dakako da neuka stranka ima pravo na prostornu pomoć i ako je socijalno ugrožena da joj treba osigurati besplatnu pravnu, profesionalnu pravnu pomoć.",HR,train_file,8,22490,295,train,ucenje,Positive,M_Negative,P_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0011,"Prema tome, njih čeka vrlo loš ishod 15.6. ukoliko ne donesete zamjensku mjeru.",HR,train_file,11,201410,858,train,provjera,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0013,"Zapovjedništvo i postrojbe oružanih snaga suočeni su s problemom zastarjelosti, neujednačenosti i sporog obnavljanja postojeće borbene tehnike tako da je tenk oružanih snaga prosječne starosti 35 godina.",HR,train_file,13,22996,297,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0014,Državni zavod za statistiku govori da je čak 958 maloljetnika u Republici Hrvatskoj u 2008. godini osuđeno uz izrečene sankcije.,HR,train_file,14,50273,460,train,ucenje,Negative,N_Neutral,Negative,Negative,dva_kodera_i_uskladjenje
train-0018,Od strane laboratorija ustanovljeno je da bolujem od azbestoze a 2002. godine ustanovljeno je da imam fibrozu pluća a sada se sumnja da imam mezoteliom.,HR,train_file,18,149733,2269,train,ucenje,Negative,Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0021,"I dok nije oformljen porezni USKOK ništa se nije moglo učiniti, jer su isti čas curile informacije onima koji su porezne prekršaje činili.",HR,train_file,21,5009,2373,train,ucenje,Negative,M_Negative,Negative,Negative,dva_kodera_i_uskladjenje
train-0022,Ne znam postoje li ustrojbene jedinice pri ministarstvima ili ne postoje.,HR,train_file,22,65398,588,train,ucenje,N_Neutral,N_Neutral,N_Neutral,Neutral,dva_kodera_i_uskladjenje
train-0023,Možemo se složiti sa time da je cijena motiv ali ne može biti i jedini kriterij.,HR,train_file,23,62503,343,train,provjera,M_Negative,M_Negative,M_Negative,Negative,dva_kodera_i_uskladjenje
